star,comment,target
5,蛮好的,
5,喜欢漫乐城环境,
1,假冒北京移动发布活动链接，消费后没有优惠券到账,
1,到了必胜客的餐厅，都已经点了餐了，要买单付款时，所有的券突然全部显示下架无法购买。。。这种app软件实在太垃圾了，谁用谁知道,
5,服务态度很好,
5,有认真工作的员工、制作水平工艺精美、有这种踏实的工作作风和责任感，相信你们会越做越好！,
2,为什么，口碑的优惠券到商家用，不是没材料就是没货，你们没有协商好的优惠，我们消费者深受其累，心累，,
5,"一次遭到野蛮对待的经历（忻州开莱纯K，本以为口碑客服只是说说,没想到真的处理了，口碑nb 我爱阿里",
5,非常优惠而且品质保证,
5,好好好好好好好好好好好好好好好好好好好好好好好好好的，好,
1,更新之后就闪退，也不出新版本,
4,大部分商家活动都挺好的，有些商家标明了活动却不能直接凭消费码取到心仪的商品连跑几家连锁店去取态度还差比较讨厌！,
5,好吃,
5,口味特点好,
5,省,
3,客服找不到，页面不友好，不喜欢,
3,口碑团购的券没有订单评价功能,
5,多一些这样的活动，很受欢迎的,
5,好的吃货，可以享受优惠。,
5,优惠活动多，幅度大,
5,不错,
5,大江户一直挺好的，可是最近天气冷，人多，想洗好澡休息一下，小孩哭，大人叫，哎……，能安静一点就更好了,
1,找了半天，连个绑卡的地方都没有！垃圾软件,
5,服务很热情，菜口味不错,
5,好,
5,菜品味道很好，免费赠送宝宝套餐，很适合带孩子来，服务也超级好！！！,
3,用口碑好几年了  最近一直闪退  点开口碑图标还没进去界面就闪退。卸载重新安装试试吧??,
1,已经两次收到陌生人发给我的地址了，都是口碑用的外卖地址，卖资料，还是泄露隐私地址，我不清楚，投诉建议还用邮件，书信，现在是网络时代？,
2,1、之前活动的作物兑换数量出错了，告诉客服才修改了；2、12月月初的鱼塘明明画面是3个鱼池养殖的，开启后变成随机钓鱼，消耗更多饲料且送些自营商品券，对不起一直勤奋坚守的农场主们；3、对平台里合作商家活动的管理和监督不严格、严谨；4、对客户的合理反馈和投诉很应付，只会背话术，累赘且未能帮忙解答或解决。,
4,希望在口碑写点评，能够受到鼓励，保护大家的积极性。,
5,给生活带来便利,
5,喜欢??就开始吧……,
5,态度很好??,
5,好吃，经济实惠,
5,很好,
5,口碑已经成为现在吃喝玩乐生活小助手了。,
5,有了它下一个富翁就是你,
5,百果园的水果质量不错，过得硬。\n可以放心购买哦。,
5,实惠经济，环境也不错，带着老人小孩吃，很不错！,
5,双12活动109很划算。味道还不错，分量也够。,
1,地址就没有一个对的。本来是南，地图上是北边。服气,
5,方便又实惠，好好好！尤其是双十二活动给力。,
5,很好用,
1,本来可以微信付的事，一定恶心别人一手，本来店里有的优惠变成还必须加你这脑瘫软件vip，就你这vip除了楼底下一两家能用还能干啥？有一说一真别恶心我,
1,券没到期，指定门店不让用，客服不解决，垃圾,
5,好好好。太好啦,
5,卫生可口美味服务到位宾至如归,
5,优惠越多越喜欢,
5,碑网推荐的商品货真价实，价格实惠，稀饭。,
5,好喝……\n感觉贵还是有贵的道理的，真的和其他的不同，这可能就是金钱的味道哈hhhhhhhhhh\n下次还想来喝！！,
5,便宜实惠,
5,好吃,
1,退款以后优惠券不给退回，客服就是机器，除了复制粘贴不会干其它的,
5,领到了很多可以用的红包,
5,最爱,
5,使用方便，服务态度好，制作过程可见，不错的一家餐厅。,
5,儿子喜欢吃的奶茶，活动价划算！,
5,好吃好吃,
5,完美,
1,我买的券自己还没用过这个然后一天就被别人使用过了！,
1,虚高标价再打折，打完折其实跟店里直接消费差不多的价格，这样做太败好感了。,
5,今年双十二活动的食店吃的东西有挺多优惠,
5,好,
5,还不错，挺好吃的,
5,在哪里输手机号，下了单一直提醒输手机号，不能支付,
1,双十二聚集了好几天的兑换红包竟然没有说明限量，白花时间，果断卸载,
5,王娟服务很好,
5,这么好用，饿了么派送每次真的快,
5,太赞了，玩哦，冲啊,
1,你们的交互真是乱七八糟！就说最近的直播，一个必胜客的界面，只有广告图片没有入口，好不容易找着直播了，连检索功能都没有，无语！,
5,很好，希望多一点这样的活动,
5,好,
1,进去查看优惠信息可以，要想使用优惠券就得更新，否则不让用，够流氓的,
1,和店里一个价,
5,第一次使用口碑点餐，不错的体验,
5,便宜便宜,
1,垃圾软件 优惠券一会能用一会不能用 这不是有病？,
5,好食材好味道，早饭必备,
5,第一看外形，好的蛋糕外形好看不庸俗不花哨，也不是单用水果堆砌。\n二，口感，好的奶油细腻光滑，香甜，劣质的奶油有一点异味。\n还有下面的蛋糕坯，好的蛋糕坯，柔软，细孔较小，均匀。不好的的反之。\n另外还有买蛋糕时候的蛋糕盒，和刀叉的质量，好的蛋糕店是在各方面都有高品质的。,
5,小孩子喜欢去,
1,全民养红包找朋友助力，明明帮助力就是不给我津贴！助力显示根本就没有，0/10一直这样显示????,
5,好用到哭??????,
1,有问题了打电话问客户回答东拉西扯的 服务态度非常恶劣,
4,对于老客户，感觉你们的热情跟津贴一样，越来越少,
5,好,
5,味道鲜美！不错不错很好,
5,哈哈,
1,玩了很久的口碑农场\n集了很多饲料 水\n种了很多粮食 肉\n只是想有一天能换一个东西吃\n\n讲真 我认为我是集的算很多很多的人了\n但是根本就换不到\n因为每次新出的能兑换的食物 他都同时会出新的、很难集的东西来故意为难大家\n我一年以来种了那么多粮食和肉\n按理来说新出一个食物应该能有直接换的水准了\n但是真的太贱了 一点东西都换不到\n真的很没有诚意！！！\n\n我记得之前出的一个汉堡王的套餐\n有4000份 直到兑换期结束 还是剩4000份\n亲 请问一个人都换不到 您有意思吗\n也是 连我这个集了一年多的人都换不到 就别说其他人了\n\n写这么多也是一种结束时候的仪式感 让自己彻底死心吧\n玩了这么久 因为一直都抱有希望\n但是没想到 它能够这么无聊犯贱 每次都有新招数让你啥都换不到\n你们自娱自乐去吧\n再也不会玩了,
1,比不上美团，在美团和口碑同时买了会员，美团退单退优惠券，在口碑只能吃哑巴亏。,
5,软件不错，活动丰富,
5,挺好的，多了一个通道,
1,不知原因,
5,这一家寿司店来了几次了，感觉很棒，服务好，吃的东西多，不掺假，价格也很合理，整个过程是很舒服，吃的开心，也吃的爽??，很推荐大家来吃,
5,味道一如既往的好，最喜欢他家的霸王鸡盒,
5,蛋挞真好啊,
1,无障碍没有适配，强烈愤慨！希望做适配，太重要了。 给残疾人造成了巨大的困难，很多店家都只接受在线点单了我们怎么半？？作为大企业求你了做一下适配可以不可以？？？？,
5,咖喱鸡味道还可以，蛋羹蒸得非常好！很嫩！米饭质量也不错！,
5,经常来，便宜,
1,一条条短信疯狂来,
5,很好，比美团实惠，不消费可以退。过期无忧。,
5,各种优惠，挺实在的。,
4,没有配送信息,
2,农场三天两头进不去搞什么啊,
1,如果不想做活动就别做，不懂为什么连这种也要杀熟,
1,超级无敌慢，必须抓紧整改！给我们带来的不便予以补偿！！！,
5,挺好,
1,大晚上骑手不够无限取消订单，恶心老子,
5,超好吃,
5,口碑不错的app，口碑农场不错，各种优惠不错！,
5,寒风瑟瑟，想念堡堡，口啤买买，心意满满,
2,定位不准手输不行,
5,給五星是因为津贴很给力，APP本身三星半,
1,口碑会杀熟，越忠实的用户越被杀,
1,作为饿了吗的接入端口，出现问题只是推诿，让用户自己协调联系饿了吗。联系到饿了吗，只让客户自己去联系商家，平台起不到监管作用只顾攥钱，用户失去耐心也无所谓，完全不需要考虑用户感受，只要盈利就行。,
5,大牌多搞一些吧,
5,得到很多实惠也找到很多好吃的店，一律以后还是继续口碑找好吃的,
1,不支持iPad,
5,提前购买，随时能退，方便很多，值得推荐,
3,下线了一优惠券商品，影响到以前买过该优惠券还让尚未使用完的用户。我买的KFC券，5次还余2次，下线后余下两次也没法用，明明还在有效期内，适用门店也没有变动过。在线客服说待解决，时间点不定。so体验不大好??,
5,以前还好，食材熟了可以让好友随便偷。可是现在，每隔一段时间只能偷一个，又不可以送。希望开发者能改进一下，，，，，,
1,部分优惠券买了以后没有专门的二维码，使用的时候直接显示支付宝的付款码！！直接导致有几次套餐错误，直接从支付宝里面扣钱！设计者脑袋进水吗！这么反人类的设计！！！缺不缺德！就为了强制用户使用支付宝付款！还是算定了有一定概率会出错，借此增加支付宝的营收记录！这种使用方式真的非常让人不舒服！优惠券买了以后就直接核销就好了，为什么要以付款码的形式出现？！核销失败就会直接走支付通道！有这么强盗的公司吗？这样强盗逻辑的公司，以客户为傻子的公司，迎接他的结果，历史会给出答案！言语已经无法表达我的愤怒和厌恶！糟糕透顶的用户体验！！！,
5,环境好，水好。服务好,
4,经济实惠，交通便利，味道可以！,
5,口碑网一个不错的平台，内容丰富多彩活动多多，生活中少不了，希望口碑网越来越好，办成老少皆宜的平台吸引更多人关注和参与积极参与口碑的活动有时的确会带来惊喜。,
5,口碑很好，发布很多好的优惠，有的商家都不知道，吃喝玩乐一条龙，希望继续保持好的优惠给大家！,
1,希望口碑能够为消费者争取权益.,
5,发现好几个划算的吃的,
5,多多开发功能,
1,垃圾公司。垃圾软件。,
5,在口碑上买东西 非常实惠 好用 以后会经常到口碑上选择所需要的东西 好好好,
5,不错下次再来,
5,希望多多活动，支持一下！,
3,这玩意，除了11.11 12.12 薅羊毛\n还有人用吗？,
5,动作麻利，服务热情，会再来。,
5,实惠便宜，选购方便，吃喝玩乐，尽情享受。,
5,很不错，环境很不错,
5,优惠很多，买了很多券，退款方便，过期自动退，可是有时候没时间消费，真不想过期，如果能不自动过期就好了,
1,打给口碑农场的，越来越坑了,
5,希望对参加活动的商家可以筛选一下，不要让他们套路我们消费者,
5,抛开政治论调，远离政治话题；我们生活都不容易，静下心来好好享受一切。丝袜奶茶、厚切多士、冰火菠萝油、超值四宝饭，美食当前何必高喊口号。,
1,口碑卡以为是原价基础上打88折，原来一个订单最高才能省5块钱，误导消费者，真垃圾,
5,经常用，很不错的一款软件,
1,我不知道为什么APP逻辑用购物车模式  买错了要退款 退款按钮竟然在一个小弹窗里的订单详情中和使用此券一个页面 而且还在最最下面的细黑字体 找了半天,
1,虚假售卡。买家买完卡不能用还找不到售后,
5,每次买东西都喜欢用口碑，有券很便宜的 能省一部分的钱,
4,口碑我日常使用的比较早也使用的比较多 很方便也有不少的活动，不比大众差多少。但是 我觉得他家的农场真心流氓 一会儿换个新东西 一会儿换个新玩意 不像最初都可以种出来那种真诚。这TM就是耍人玩 难怪没人去玩,
5,菜好吃，服务员人好,
1,111,
5,味道很好??,
5,很好！,
5,三文鱼，鹅肝！超级好吃??,
5,这个平台为我们提供了诸多价廉物美的东西\n赞????,
1,到店优惠券不能用，体验极差,
4,每份价格比实体店贵一两元就算了，还要另收1元包装费，奶茶本身就包装好的呀！运费还贵，我买的VIP都不太想用，还是在美团叫外卖,
1,买了优惠券，在适用的门店里，符合扣款规则，就是不能用，哈哈不能退款，真是厉害了,
5,等待下午茶恰恰！,
5,宫保鸡丁饭超级好吃??,
5,一如既往的支持与喜欢。微辣刚刚好。。。。。。。。。。。,
2,不如美团和大众点评有效期长！使用还有各种限制，导致经常购买的券还没用就过期了！所以不会是团购第一选择！,
5,有口碑，随时随地就能找到你想吃的美味，无论你在那个城市，就有你想要的美味！,
5,价廉物美非常的便宜东西非常的新鲜好吃。,
